DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Hosted Datei ID;Löschen
Document url*;Url type*;Subscriptions;Document description;Language*;Document type*;Document identifier;Publication date;AcCode*;ID;Hosted file ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;ID;ID du fichier hébergé;Supprimer
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1-XCP_AS_Flexray-Transport-Layer_V1-3-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_d;2015-05-01;CSMKBP00000018;5507ed81-d61c-4012-81d7-5d4c5770a6b8;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1-XCP_AS_USB-Transport-Layer_V1-3-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_f;2015-05-01;CSMKBP00000022;079b9055-d150-4f88-bf5b-6518e1bef71f;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1-XCP_AS_SxI-Transport-Layer_V1-3-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_e;2015-05-01;CSMKBP00000021;7a602466-618b-4aff-9306-b18b70d4a6e0;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1_CCP_BS_V2-1-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 CCP;1999-02-18;IX88821448;852c6757-fcb1-4666-acc8-302c2ec5427f;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASAM/ASAM_AE_MCD-1-XCP_BS_Protocol-Layer-Specification_V1-3-0.pdf;Url;;ASAM;en;trule;ASAM MCD-1 XCP_g;2015-05-01;CSMKBP00000023;5350328c-0c2e-45cf-bc1a-3b54bc8daae4;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASME/ASME Y14.6-2001.pdf;Url;;ASME;en;trule;ASME Y14.6;2001-00-00;US45512629;29d021bc-9f7d-43ef-94b4-4316a5db5086;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASME/ASME B1.1_scannt.pdf;Url;;ASME;en;trule;ASME B1.1;2003-00-00;US87701007;4a3c2b9d-5513-436a-9d16-ca7fc61cedf4;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASME/ASME_B18.6.3_2013_gescannt.pdf;Url;;ASME;en;trule;ASME B18.6.3;2013-00-00;US88181104;e6b61e3c-a216-4091-8ede-fe4503e6019c;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASME/ASME_B18.6.3_2013_gescannt.pdf;Url;;ASME;en;trule;ANSI/ASME B 18.6.3;2013-00-00;US83516217;f581c57f-3745-4b4b-8316-5405cb1ce296;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASME/ASME Y14.5-2009_gescannt.pdf;Url;;ASME;en;trule;ANSI/ASME Y 14.5;2009-00-00;US83509980;13d406d4-2a2f-4199-909b-3ea56f44b223;;
